content,score,clean_text,token,stopword_removal,stemming
"Lucu asli, kalo buka realtime trx harganya Rp.2515 sedangkan mode pro reku harga per trx Rp.2525. lu transaksi sebagai pembeli bisa jual diharga mode pronya. Tapi giliran transaksi jual harus mode lightning. Apa ngga sedih sama exchange lokal wkwk",1,lucu asli kalo buka realtime trx harganya rp sedangkan mode pro reku harga per trx rp lu transaksi sebagai pembeli bisa jual diharga mode pronya tapi giliran transaksi jual harus mode lightning apa ngga sedih sama exchange lokal wkwk,"['lucu', 'asli', 'kalo', 'buka', 'realtime', 'trx', 'harganya', 'rp', 'sedangkan', 'mode', 'pro', 'reku', 'harga', 'per', 'trx', 'rp', 'lu', 'transaksi', 'sebagai', 'pembeli', 'bisa', 'jual', 'diharga', 'mode', 'pronya', 'tapi', 'giliran', 'transaksi', 'jual', 'harus', 'mode', 'lightning', 'apa', 'ngga', 'sedih', 'sama', 'exchange', 'lokal', 'wkwk']","['lucu', 'asli', 'kalo', 'buka', 'realtime', 'trx', 'harganya', 'rp', 'mode', 'pro', 'reku', 'harga', 'per', 'trx', 'rp', 'lu', 'transaksi', 'pembeli', 'jual', 'diharga', 'mode', 'pronya', 'giliran', 'transaksi', 'jual', 'mode', 'lightning', 'apa', 'ngga', 'sedih', 'sama', 'exchange', 'lokal', 'wkwk']","['lucu', 'asli', 'kalo', 'buka', 'realtime', 'trx', 'harga', 'rp', 'mode', 'pro', 'reku', 'harga', 'per', 'trx', 'rp', 'lu', 'transaksi', 'beli', 'jual', 'harga', 'mode', 'pro', 'gilir', 'transaksi', 'jual', 'mode', 'lightning', 'apa', 'ngga', 'sedih', 'sama', 'exchange', 'lokal', 'wkwk']"
"aplikasi REKU adalah dompet yang sama juga mutu nya dengan Dompet kartu Bank yang ada di Indonesia. selain terpercaya, juga REKU mudah untuk melakukan transaksi perbankan.",5,aplikasi reku adalah dompet yang sama juga mutu nya dengan dompet kartu bank yang ada di indonesia selain terpercaya juga reku mudah untuk melakukan transaksi perbankan,"['aplikasi', 'reku', 'adalah', 'dompet', 'yang', 'sama', 'juga', 'mutu', 'nya', 'dengan', 'dompet', 'kartu', 'bank', 'yang', 'ada', 'di', 'indonesia', 'selain', 'terpercaya', 'juga', 'reku', 'mudah', 'untuk', 'melakukan', 'transaksi', 'perbankan']","['aplikasi', 'reku', 'dompet', 'sama', 'mutu', 'nya', 'dompet', 'kartu', 'bank', 'indonesia', 'terpercaya', 'reku', 'mudah', 'melakukan', 'transaksi', 'perbankan']","['aplikasi', 'reku', 'dompet', 'sama', 'mutu', 'nya', 'dompet', 'kartu', 'bank', 'indonesia', 'percaya', 'reku', 'mudah', 'laku', 'transaksi', 'perban']"
ok,5,ok,['ok'],[],[]
"tambah mahal,, jarak jual dan belinya terlalu gede.,, masa iya skali beli kepotong 10%, 30%",3,tambah mahal jarak jual dan belinya terlalu gede masa iya skali beli kepotong,"['tambah', 'mahal', 'jarak', 'jual', 'dan', 'belinya', 'terlalu', 'gede', 'masa', 'iya', 'skali', 'beli', 'kepotong']","['tambah', 'mahal', 'jarak', 'jual', 'belinya', 'terlalu', 'gede', 'masa', 'iya', 'skali', 'beli', 'kepotong']","['tambah', 'mahal', 'jarak', 'jual', 'beli', 'terlalu', 'gede', 'masa', 'iya', 'skali', 'beli', 'potong']"
"Aplikasi ini bagus untuk berdagang kripto, tampilan juga mudah di pahami tidak ribet, pakai ini saat mau daftar â£ï¸ nakama â£ï¸ sangat kompetitif untuk perdagangan yang efisien tanpa biaya yang besar, permintaan topup dan penarikan diproses dengan cepat, ini merupakan nilai tambah yang sangat besar, di tambah pelayanan cs sangat cepat respon, reku salah satu platform andalan, sangat rekomendasi untuk pemakaian. ğŸ‘",5,aplikasi ini bagus untuk berdagang kripto tampilan juga mudah di pahami tidak ribet pakai ini saat mau daftar â£ï¸ nakama â£ï¸ sangat kompetitif untuk perdagangan yang efisien tanpa biaya yang besar permintaan topup dan penarikan diproses dengan cepat ini merupakan nilai tambah yang sangat besar di tambah pelayanan cs sangat cepat respon reku salah satu platform andalan sangat rekomendasi untuk pemakaian ğŸ‘,"['aplikasi', 'ini', 'bagus', 'untuk', 'berdagang', 'kripto', 'tampilan', 'juga', 'mudah', 'di', 'pahami', 'tidak', 'ribet', 'pakai', 'ini', 'saat', 'mau', 'daftar', 'â£ï¸', 'nakama', 'â£ï¸', 'sangat', 'kompetitif', 'untuk', 'perdagangan', 'yang', 'efisien', 'tanpa', 'biaya', 'yang', 'besar', 'permintaan', 'topup', 'dan', 'penarikan', 'diproses', 'dengan', 'cepat', 'ini', 'merupakan', 'nilai', 'tambah', 'yang', 'sangat', 'besar', 'di', 'tambah', 'pelayanan', 'cs', 'sangat', 'cepat', 'respon', 'reku', 'salah', 'satu', 'platform', 'andalan', 'sangat', 'rekomendasi', 'untuk', 'pemakaian', 'ğŸ‘']","['aplikasi', 'bagus', 'berdagang', 'kripto', 'tampilan', 'mudah', 'pahami', 'ribet', 'pakai', 'mau', 'daftar', 'â£ï¸', 'nakama', 'â£ï¸', 'sangat', 'kompetitif', 'perdagangan', 'efisien', 'biaya', 'besar', 'permintaan', 'topup', 'penarikan', 'diproses', 'cepat', 'merupakan', 'nilai', 'tambah', 'sangat', 'besar', 'tambah', 'pelayanan', 'cs', 'sangat', 'cepat', 'respon', 'reku', 'salah', 'satu', 'platform', 'andalan', 'sangat', 'rekomendasi', 'pemakaian', 'ğŸ‘']","['aplikasi', 'bagus', 'dagang', 'kripto', 'tampil', 'mudah', 'paham', 'ribet', 'pakai', 'mau', 'daftar', '', 'nakama', '', 'sangat', 'kompetitif', 'dagang', 'efisien', 'biaya', 'besar', 'minta', 'topup', 'tari', 'proses', 'cepat', 'rupa', 'nilai', 'tambah', 'sangat', 'besar', 'tambah', 'layan', 'cs', 'sangat', 'cepat', 'respon', 'reku', 'salah', 'satu', 'platform', 'andal', 'sangat', 'rekomendasi', 'pakai', '']"
baru mau coba muda mudahan apk nya bagus,5,baru mau coba muda mudahan apk nya bagus,"['baru', 'mau', 'coba', 'muda', 'mudahan', 'apk', 'nya', 'bagus']","['baru', 'mau', 'coba', 'muda', 'mudahan', 'apk', 'nya', 'bagus']","['baru', 'mau', 'coba', 'muda', 'mudah', 'apk', 'nya', 'bagus']"
udh Joss pokoknya,5,udh joss pokoknya,"['udh', 'joss', 'pokoknya']","['udh', 'joss', 'pokoknya']","['udh', 'joss', 'pokok']"
"Exchange lokal paling mantap, admin ga ribe terus varian Bank bnyak",5,exchange lokal paling mantap admin ga ribe terus varian bank bnyak,"['exchange', 'lokal', 'paling', 'mantap', 'admin', 'ga', 'ribe', 'terus', 'varian', 'bank', 'bnyak']","['exchange', 'lokal', 'paling', 'mantap', 'admin', 'ga', 'ribe', 'terus', 'varian', 'bank', 'bnyak']","['exchange', 'lokal', 'paling', 'mantap', 'admin', 'ga', 'ribe', 'terus', 'varian', 'bank', 'bnyak']"
Sekuritas paraah mines 5 persen abis itu naik 9 persen harusnya udah profit 4 persen ini malah masih mines 4 persen kocak giliran turun aja grecep saldo ngurang nyaa gliran naik di sekuritas lain naik disini malah mines ajaa kocakkk,1,sekuritas paraah mines  persen abis itu naik  persen harusnya udah profit  persen ini malah masih mines  persen kocak giliran turun aja grecep saldo ngurang nyaa gliran naik di sekuritas lain naik disini malah mines ajaa kocakkk,"['sekuritas', 'paraah', 'mines', 'persen', 'abis', 'itu', 'naik', 'persen', 'harusnya', 'udah', 'profit', 'persen', 'ini', 'malah', 'masih', 'mines', 'persen', 'kocak', 'giliran', 'turun', 'aja', 'grecep', 'saldo', 'ngurang', 'nyaa', 'gliran', 'naik', 'di', 'sekuritas', 'lain', 'naik', 'disini', 'malah', 'mines', 'ajaa', 'kocakkk']","['sekuritas', 'paraah', 'mines', 'persen', 'abis', 'naik', 'persen', 'harusnya', 'udah', 'profit', 'persen', 'malah', 'mines', 'persen', 'kocak', 'giliran', 'turun', 'aja', 'grecep', 'saldo', 'ngurang', 'nyaa', 'gliran', 'naik', 'sekuritas', 'naik', 'disini', 'malah', 'mines', 'ajaa', 'kocakkk']","['sekuritas', 'paraah', 'mes', 'persen', 'abis', 'naik', 'persen', 'harus', 'udah', 'profit', 'persen', 'malah', 'mes', 'persen', 'kocak', 'gilir', 'turun', 'aja', 'grecep', 'saldo', 'ngurang', 'nyaa', 'gliran', 'naik', 'sekuritas', 'naik', 'sini', 'malah', 'mes', 'ajaa', 'kocakkk']"
Kirim crypto lama..bgt... Fee juga terlalu mahal... jauh diatas rataÂ² fee market.. market fee 5k.. di sini hmpir 10k.. 2x lipat.. bhkan ada yg 5x lipat.. contoh TRX.. rataÂ² fee market send 1 TRX - 2 TRX .. di sini 5 TRX !! Fee trade crypto juga mahal bgt.. Pantes volume trade kecil..!! Gk ada yg minat trade crypto di sini. RataÂ² ke saham.,2,kirim crypto lamabgt fee juga terlalu mahal jauh diatas rataÂ² fee market market fee k di sini hmpir k x lipat bhkan ada yg x lipat contoh trx rataÂ² fee market send  trx   trx  di sini  trx  fee trade crypto juga mahal bgt pantes volume trade kecil gk ada yg minat trade crypto di sini rataÂ² ke saham,"['kirim', 'crypto', 'lamabgt', 'fee', 'juga', 'terlalu', 'mahal', 'jauh', 'diatas', 'rataÂ²', 'fee', 'market', 'market', 'fee', 'k', 'di', 'sini', 'hmpir', 'k', 'x', 'lipat', 'bhkan', 'ada', 'yg', 'x', 'lipat', 'contoh', 'trx', 'rataÂ²', 'fee', 'market', 'send', 'trx', 'trx', 'di', 'sini', 'trx', 'fee', 'trade', 'crypto', 'juga', 'mahal', 'bgt', 'pantes', 'volume', 'trade', 'kecil', 'gk', 'ada', 'yg', 'minat', 'trade', 'crypto', 'di', 'sini', 'rataÂ²', 'ke', 'saham']","['kirim', 'crypto', 'lamabgt', 'fee', 'terlalu', 'mahal', 'jauh', 'diatas', 'rataÂ²', 'fee', 'market', 'market', 'fee', 'k', 'sini', 'hmpir', 'k', 'x', 'lipat', 'bhkan', 'yg', 'x', 'lipat', 'contoh', 'trx', 'rataÂ²', 'fee', 'market', 'send', 'trx', 'trx', 'sini', 'trx', 'fee', 'trade', 'crypto', 'mahal', 'bgt', 'pantes', 'volume', 'trade', 'kecil', 'gk', 'yg', 'minat', 'trade', 'crypto', 'sini', 'rataÂ²', 'saham']","['kirim', 'crypto', 'lamabgt', 'fee', 'terlalu', 'mahal', 'jauh', 'atas', 'rata', 'fee', 'market', 'market', 'fee', 'k', 'sini', 'hmpir', 'k', 'x', 'lipat', 'bhkan', 'yg', 'x', 'lipat', 'contoh', 'trx', 'rata', 'fee', 'market', 'send', 'trx', 'trx', 'sini', 'trx', 'fee', 'trade', 'crypto', 'mahal', 'bgt', 'pantes', 'volume', 'trade', 'kecil', 'gk', 'yg', 'minat', 'trade', 'crypto', 'sini', 'rata', 'saham']"
reku sangat cocok untuk digunakan dalam aplikasi perdagangan kripto menurut saya aplikasi reku sangat mudah untuk digunakan dan mudah untuk di pelajari,5,reku sangat cocok untuk digunakan dalam aplikasi perdagangan kripto menurut saya aplikasi reku sangat mudah untuk digunakan dan mudah untuk di pelajari,"['reku', 'sangat', 'cocok', 'untuk', 'digunakan', 'dalam', 'aplikasi', 'perdagangan', 'kripto', 'menurut', 'saya', 'aplikasi', 'reku', 'sangat', 'mudah', 'untuk', 'digunakan', 'dan', 'mudah', 'untuk', 'di', 'pelajari']","['reku', 'sangat', 'cocok', 'digunakan', 'aplikasi', 'perdagangan', 'kripto', 'aplikasi', 'reku', 'sangat', 'mudah', 'digunakan', 'mudah', 'pelajari']","['reku', 'sangat', 'cocok', 'guna', 'aplikasi', 'dagang', 'kripto', 'aplikasi', 'reku', 'sangat', 'mudah', 'guna', 'mudah', 'ajar']"
good,5,good,['good'],['good'],['good']
RIBET DAN TIDAK JELASS ğŸ‘ğŸ‘,1,ribet dan tidak jelass ğŸ‘ğŸ‘,"['ribet', 'dan', 'tidak', 'jelass', 'ğŸ‘ğŸ‘']","['ribet', 'jelass', 'ğŸ‘ğŸ‘']","['ribet', 'jelass', '']"
good,5,good,['good'],['good'],['good']
"Saya cukup lama menggunakan Reku ini,dimana kita bisa tahu profit atau tidak,tapi semenjak versi terbaru ini yg sudah memasukkan saham disamping crypto,menu favorit crypto tidak bisa disimpan. Hal ini terjadi sewaktu kita matikan hp atau logout dimenu favorit tetap hanya 3 crypto padahal kita sdh tambah jadi 10 crypto dengan cara geser kekanan",5,saya cukup lama menggunakan reku inidimana kita bisa tahu profit atau tidaktapi semenjak versi terbaru ini yg sudah memasukkan saham disamping cryptomenu favorit crypto tidak bisa disimpan hal ini terjadi sewaktu kita matikan hp atau logout dimenu favorit tetap hanya  crypto padahal kita sdh tambah jadi  crypto dengan cara geser kekanan,"['saya', 'cukup', 'lama', 'menggunakan', 'reku', 'inidimana', 'kita', 'bisa', 'tahu', 'profit', 'atau', 'tidaktapi', 'semenjak', 'versi', 'terbaru', 'ini', 'yg', 'sudah', 'memasukkan', 'saham', 'disamping', 'cryptomenu', 'favorit', 'crypto', 'tidak', 'bisa', 'disimpan', 'hal', 'ini', 'terjadi', 'sewaktu', 'kita', 'matikan', 'hp', 'atau', 'logout', 'dimenu', 'favorit', 'tetap', 'hanya', 'crypto', 'padahal', 'kita', 'sdh', 'tambah', 'jadi', 'crypto', 'dengan', 'cara', 'geser', 'kekanan']","['cukup', 'lama', 'menggunakan', 'reku', 'inidimana', 'tahu', 'profit', 'tidaktapi', 'semenjak', 'versi', 'terbaru', 'yg', 'memasukkan', 'saham', 'disamping', 'cryptomenu', 'favorit', 'crypto', 'disimpan', 'terjadi', 'sewaktu', 'matikan', 'hp', 'logout', 'dimenu', 'favorit', 'tetap', 'crypto', 'padahal', 'sdh', 'tambah', 'jadi', 'crypto', 'cara', 'geser', 'kekanan']","['cukup', 'lama', 'guna', 'reku', 'inidimana', 'tahu', 'profit', 'tidaktapi', 'semenjak', 'versi', 'baru', 'yg', 'masuk', 'saham', 'samping', 'cryptomenu', 'favorit', 'crypto', 'simpan', 'jadi', 'waktu', 'mati', 'hp', 'logout', 'menu', 'favorit', 'tetap', 'crypto', 'padahal', 'sdh', 'tambah', 'jadi', 'crypto', 'cara', 'geser', 'kan']"
Baik,4,baik,['baik'],['baik'],['baik']
Ok om ğŸ‘,5,ok om ğŸ‘,"['ok', 'om', 'ğŸ‘']","['om', 'ğŸ‘']","['om', '']"
"Saya menggunakan aplikasi ini isilah ğŸ’•ğŸ’•b a r o k a h ğŸ’•ğŸ’• ketika daftar biar akunmu aktif, atas rekomendasi seorang teman, seluruh antarmukanya sangat jelas dan lancar, dan fungsi perdagangannya juga sangat lengkap, memiliki variasi perdagangan yang kaya, analisis perubahan harga perdagangan internasional, dan akun demo gratis semuanya Saya sangat menyukainya, tetapi fitur favorit saya adalah kelancaran seluruh transaksi, sehingga saya tidak perlu khawatir akan kelambatan selama transaksiğŸ˜˜.",4,saya menggunakan aplikasi ini isilah ğŸ’•ğŸ’•b a r o k a h ğŸ’•ğŸ’• ketika daftar biar akunmu aktif atas rekomendasi seorang teman seluruh antarmukanya sangat jelas dan lancar dan fungsi perdagangannya juga sangat lengkap memiliki variasi perdagangan yang kaya analisis perubahan harga perdagangan internasional dan akun demo gratis semuanya saya sangat menyukainya tetapi fitur favorit saya adalah kelancaran seluruh transaksi sehingga saya tidak perlu khawatir akan kelambatan selama transaksiğŸ˜˜,"['saya', 'menggunakan', 'aplikasi', 'ini', 'isilah', 'ğŸ’•ğŸ’•b', 'a', 'r', 'o', 'k', 'a', 'h', 'ğŸ’•ğŸ’•', 'ketika', 'daftar', 'biar', 'akunmu', 'aktif', 'atas', 'rekomendasi', 'seorang', 'teman', 'seluruh', 'antarmukanya', 'sangat', 'jelas', 'dan', 'lancar', 'dan', 'fungsi', 'perdagangannya', 'juga', 'sangat', 'lengkap', 'memiliki', 'variasi', 'perdagangan', 'yang', 'kaya', 'analisis', 'perubahan', 'harga', 'perdagangan', 'internasional', 'dan', 'akun', 'demo', 'gratis', 'semuanya', 'saya', 'sangat', 'menyukainya', 'tetapi', 'fitur', 'favorit', 'saya', 'adalah', 'kelancaran', 'seluruh', 'transaksi', 'sehingga', 'saya', 'tidak', 'perlu', 'khawatir', 'akan', 'kelambatan', 'selama', 'transaksiğŸ˜˜']","['menggunakan', 'aplikasi', 'isilah', 'ğŸ’•ğŸ’•b', 'a', 'r', 'o', 'k', 'a', 'h', 'ğŸ’•ğŸ’•', 'daftar', 'biar', 'akunmu', 'aktif', 'atas', 'rekomendasi', 'seorang', 'teman', 'seluruh', 'antarmukanya', 'sangat', 'jelas', 'lancar', 'fungsi', 'perdagangannya', 'sangat', 'lengkap', 'memiliki', 'variasi', 'perdagangan', 'kaya', 'analisis', 'perubahan', 'harga', 'perdagangan', 'internasional', 'akun', 'demo', 'gratis', 'semuanya', 'sangat', 'menyukainya', 'fitur', 'favorit', 'kelancaran', 'seluruh', 'transaksi', 'perlu', 'khawatir', 'kelambatan', 'selama', 'transaksiğŸ˜˜']","['guna', 'aplikasi', 'isi', 'b', 'a', 'r', 'o', 'k', 'a', 'h', '', 'daftar', 'biar', 'akun', 'aktif', 'atas', 'rekomendasi', 'orang', 'teman', 'seluruh', 'antarmuka', 'sangat', 'jelas', 'lancar', 'fungsi', 'dagang', 'sangat', 'lengkap', 'milik', 'variasi', 'dagang', 'kaya', 'analisis', 'ubah', 'harga', 'dagang', 'internasional', 'akun', 'demo', 'gratis', 'semua', 'sangat', 'suka', 'fitur', 'favorit', 'lancar', 'seluruh', 'transaksi', 'perlu', 'khawatir', 'lambat', 'lama', 'transaksi']"
"Buset dehhh.... Beli cuma 10rb,, jadi koin seharga 8rb.. Fee jual beli ga ngotak... Gimna klo beli jutaan... Ilangnya segunung... Contoh indodax.. Fee minim bgt",1,buset dehhh beli cuma rb jadi koin seharga rb fee jual beli ga ngotak gimna klo beli jutaan ilangnya segunung contoh indodax fee minim bgt,"['buset', 'dehhh', 'beli', 'cuma', 'rb', 'jadi', 'koin', 'seharga', 'rb', 'fee', 'jual', 'beli', 'ga', 'ngotak', 'gimna', 'klo', 'beli', 'jutaan', 'ilangnya', 'segunung', 'contoh', 'indodax', 'fee', 'minim', 'bgt']","['buset', 'dehhh', 'beli', 'cuma', 'rb', 'jadi', 'koin', 'seharga', 'rb', 'fee', 'jual', 'beli', 'ga', 'ngotak', 'gimna', 'klo', 'beli', 'jutaan', 'ilangnya', 'segunung', 'contoh', 'indodax', 'fee', 'minim', 'bgt']","['buset', 'dehhh', 'beli', 'cuma', 'rb', 'jadi', 'koin', 'harga', 'rb', 'fee', 'jual', 'beli', 'ga', 'ngotak', 'gimna', 'klo', 'beli', 'juta', 'ilangnya', 'gunung', 'contoh', 'indodax', 'fee', 'minim', 'bgt']"
